Year,Month,Day,Hour,Temp,Dewtemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6,ID
2010,1,6,21,-26,-47,10120,320,80,-9999,-9999,-9999,010010-99999
2010,1,6,22,-28,-44,10123,320,80,-9999,-9999,-9999,010010-99999
2010,1,6,23,-27,-54,10121,310,70,-9999,-9999,-9999,010010-99999
2010,1,7,0,-25,-58,10122,320,60,2,-9999,-1,010010-99999
2010,1,7,1,-23,-54,10124,340,50,-9999,-9999,-9999,010010-99999
2010,1,7,2,-23,-48,10124,360,50,-9999,-9999,-9999,010010-99999
2010,1,7,3,-26,-47,10127,10,90,-9999,-9999,-9999,010010-99999
2010,1,7,4,-29,-55,10131,10,80,-9999,-9999,-9999,010010-99999
2010,1,7,5,-33,-62,10135,360,80,-9999,-9999,-9999,010010-99999
2010,1,7,6,-38,-78,10138,360,90,4,-9999,-9999,010010-99999
2010,1,7,8,-46,-89,10150,360,80,-9999,-9999,-9999,010010-99999
2010,1,7,9,-47,-86,10158,350,70,2,-9999,-9999,010010-99999
2010,1,7,10,-50,-90,10161,350,60,-9999,-9999,-9999,010010-99999
2010,1,7,11,-54,-98,10164,350,50,-9999,-9999,-9999,010010-99999
2010,1,7,12,-55,-95,10159,340,80,3,-9999,0,010010-99999
2010,1,7,13,-59,-100,10163,330,50,-9999,-9999,-9999,010010-99999
2010,1,7,14,-62,-101,10169,310,40,-9999,-9999,-9999,010010-99999
2010,1,7,15,-65,-101,10168,330,40,-9999,-9999,-9999,010010-99999
2010,1,7,16,-66,-101,10170,310,40,-9999,-9999,-9999,010010-99999
2010,1,7,17,-64,-99,10172,250,20,-9999,-9999,-9999,010010-99999
2010,1,7,18,-62,-96,10171,260,10,5,-9999,-9999,010010-99999
2010,1,7,19,-47,-83,10171,140,40,-9999,-9999,-9999,010010-99999
2010,1,7,20,-45,-83,10170,140,40,-9999,-9999,-9999,010010-99999
2010,1,7,21,-44,-79,10166,130,50,-9999,-9999,-9999,010010-99999
2010,1,7,22,-39,-71,10161,110,60,-9999,-9999,-9999,010010-99999
2010,1,7,23,-36,-65,10155,100,70,-9999,-9999,-9999,010010-99999
2010,1,8,0,-23,-54,10144,120,90,8,-9999,-1,010010-99999
2010,1,8,1,-15,-55,10138,170,70,-9999,-9999,-9999,010010-99999
2010,1,8,2,-10,-53,10131,190,90,-9999,-9999,-9999,010010-99999
2010,1,8,3,-8,-39,10125,180,90,-9999,-9999,-9999,010010-99999
2010,1,8,4,-8,-22,10116,190,90,-9999,-9999,-9999,010010-99999
2010,1,8,5,-5,-24,10107,190,110,-9999,-9999,-9999,010010-99999
2010,1,8,6,-2,-22,10099,190,90,8,-9999,-9999,010010-99999
2010,1,8,7,-3,-13,10091,180,100,-9999,-9999,-9999,010010-99999
2010,1,8,8,-7,-15,10087,200,70,-9999,-9999,-9999,010010-99999
2010,1,8,9,-8,-33,10088,250,60,8,-9999,-9999,010010-99999
2010,1,8,10,-12,-34,10088,200,40,-9999,-9999,-9999,010010-99999
2010,1,8,11,-8,-30,10085,260,40,-9999,-9999,-9999,010010-99999
2010,1,8,12,-15,-34,10093,280,60,7,-9999,-1,010010-99999
2010,1,8,13,-20,-39,10101,270,40,-9999,-9999,-9999,010010-99999
2010,1,8,14,-28,-46,10105,230,50,-9999,-9999,-9999,010010-99999
2010,1,8,15,-35,-60,10107,240,60,6,-9999,-9999,010010-99999
2010,1,8,16,-41,-65,10108,220,60,-9999,-9999,-9999,010010-99999
2010,1,8,17,-45,-70,10108,230,50,-9999,-9999,-9999,010010-99999
2010,1,8,18,-42,-69,10104,240,40,8,-9999,-9999,010010-99999
2010,1,8,19,-39,-65,10106,230,50,-9999,-9999,-9999,010010-99999
2010,1,8,20,-35,-58,10106,250,40,-9999,-9999,-9999,010010-99999
2010,1,8,21,-32,-54,10102,240,30,-9999,-9999,-9999,010010-99999
2010,1,8,22,-30,-45,10100,280,10,-9999,-9999,-9999,010010-99999
2010,1,8,23,-17,-30,10096,240,20,-9999,-9999,-9999,010010-99999
2010,1,9,0,16,-10,10087,240,90,5,-9999,0,010010-99999
2010,1,9,1,23,3,10084,210,110,-9999,-9999,-9999,010010-99999
2010,1,9,2,29,6,10083,220,100,-9999,-9999,-9999,010010-99999
2010,1,9,3,21,-1,10080,200,100,-9999,-9999,-9999,010010-99999
2010,1,9,4,19,2,10077,200,80,-9999,-9999,-9999,010010-99999
2010,1,9,5,23,3,10072,210,90,-9999,-9999,-9999,010010-99999
2010,1,9,6,30,2,10068,220,110,7,-9999,-9999,010010-99999
2010,1,9,7,27,1,10064,210,100,-9999,-9999,-9999,010010-99999
2010,1,9,8,30,3,10060,210,110,-9999,-9999,-9999,010010-99999
2010,1,9,9,31,6,10059,230,110,8,-9999,-9999,010010-99999
2010,1,9,10,34,9,10055,230,100,-9999,-9999,-9999,010010-99999
2010,1,9,11,35,13,10051,220,110,-9999,-9999,-9999,010010-99999
2010,1,9,12,37,14,10045,220,140,8,-9999,30,010010-99999
2010,1,9,13,36,15,10043,220,130,-9999,-9999,-9999,010010-99999
2010,1,9,14,40,20,10039,240,110,-9999,-9999,-9999,010010-99999
2010,1,9,15,39,22,10037,230,120,8,-9999,-9999,010010-99999
2010,1,9,16,40,23,10034,240,110,-9999,-9999,-9999,010010-99999
2010,1,9,17,44,26,10032,240,110,-9999,-9999,-9999,010010-99999
2010,1,9,18,44,24,10026,250,130,8,-9999,-9999,010010-99999
2010,1,9,19,37,16,10025,250,150,-9999,-9999,-9999,010010-99999
2010,1,9,20,33,13,10029,250,120,-9999,-9999,-9999,010010-99999
2010,1,9,21,25,12,10035,250,130,-9999,-9999,-9999,010010-99999
2010,1,9,22,19,0,10041,250,130,-9999,-9999,-9999,010010-99999
2010,1,9,23,9,-13,10047,250,150,-9999,-9999,-9999,010010-99999
2010,1,10,0,-1,-21,10053,250,120,3,-9999,20,010010-99999
2010,1,10,1,-2,-22,10061,270,130,-9999,-9999,-9999,010010-99999
2010,1,10,2,-8,-26,10073,270,140,-9999,-9999,-9999,010010-99999
2010,1,10,3,-14,-29,10078,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,10,4,-17,-38,10075,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,10,5,-25,-46,10080,280,170,-9999,-9999,-9999,010010-99999
2010,1,10,6,-29,-47,10096,-9999,-9999,3,-9999,-9999,010010-99999
2010,1,10,7,-28,-50,10104,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,10,8,-21,-39,10127,270,110,-9999,-9999,-9999,010010-99999
2010,1,10,9,-13,-29,10131,290,40,4,-9999,-9999,010010-99999
2010,1,10,10,-2,-19,10138,280,80,-9999,-9999,-9999,010010-99999
2010,1,10,11,-2,-20,10146,270,140,-9999,-9999,-9999,010010-99999
2010,1,10,12,-21,-36,10164,300,100,7,-9999,5,010010-99999
2010,1,10,13,-39,-52,10171,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,10,14,-50,-67,10186,300,100,-9999,-9999,-9999,010010-99999
